,date,actual_data,lstm_predicted_data
95,2024-01-23 04:00:00,1.1289029825999999,1.1283145
96,2024-01-23 08:00:00,1.1284820585999997,1.1283619
97,2024-01-23 12:00:00,1.1281262775999998,1.1283792
98,2024-01-23 16:00:00,1.1282695922,1.1283717
99,2024-01-23 20:00:00,1.1283908584,1.1283439
100,2024-01-24 00:00:00,1.1284078958,1.1283013
101,2024-01-24 04:00:00,1.1285512104,1.1282499
102,2024-01-24 08:00:00,1.1287466393999999,1.1281953
103,2024-01-24 12:00:00,1.1288268153999998,1.1281313
104,2024-01-24 16:00:00,1.1287025426,1.1280522
105,2024-01-24 20:00:00,1.128629382,1.1279736
106,2024-01-25 00:00:00,1.1285973115999999,1.1278971
107,2024-01-25 04:00:00,1.1286975315999999,1.1278273
108,2024-01-25 08:00:00,1.1287676856,1.1277678
109,2024-01-25 12:00:00,1.1281352973999998,1.127713
110,2024-01-25 16:00:00,1.1281773897999998,1.1276658
111,2024-01-25 20:00:00,1.1282725988,1.127628
112,2024-01-26 00:00:00,1.1282675878,1.1276011
113,2024-01-26 04:00:00,1.1280120267999998,1.1275839
114,2024-01-26 08:00:00,1.128564239,1.127579
115,2024-01-26 12:00:00,1.1284600102,1.1275822
116,2024-01-26 16:00:00,1.1283998782,1.1275854
117,2024-01-26 20:00:00,1.1283227087999999,1.1275942
118,2024-01-28 20:00:00,1.1282405283999999,1.1276077
119,2024-01-29 00:00:00,1.1282695922,1.1276263
120,2024-01-29 04:00:00,1.1281894162,1.1276468
121,2024-01-29 08:00:00,1.1280461015999999,1.1276611
122,2024-01-29 12:00:00,1.1277895383999998,1.1276699
123,2024-01-29 16:00:00,1.1280070157999997,1.1276796
124,2024-01-29 20:00:00,1.1281543392,1.1276903
125,2024-01-30 00:00:00,1.1281232709999998,1.1276989
126,2024-01-30 04:00:00,1.1280450993999998,1.1277094
127,2024-01-30 08:00:00,1.1282375217999998,1.1277171
128,2024-01-30 12:00:00,1.1281874118,1.1277287
129,2024-01-30 16:00:00,1.1282776097999998,1.1277406
130,2024-01-30 20:00:00,1.1282465415999998,1.1277523
131,2024-01-31 00:00:00,1.1280040091999999,1.1277692
132,2024-01-31 04:00:00,1.127977952,1.127787
133,2024-01-31 08:00:00,1.1282074558,1.1278087
134,2024-01-31 12:00:00,1.1284319485999998,1.1278191
135,2024-01-31 16:00:00,1.1282214866,1.1278208
136,2024-01-31 20:00:00,1.1278566857999999,1.1278173
137,2024-02-01 00:00:00,1.1279338552,1.1278107
138,2024-02-01 04:00:00,1.1277494503999999,1.1277988
139,2024-02-01 08:00:00,1.1279007825999998,1.1277874
140,2024-02-01 12:00:00,1.1280821808,1.1277792
141,2024-02-01 16:00:00,1.1285371795999999,1.1277503
142,2024-02-01 20:00:00,1.1285612323999998,1.1277027
143,2024-02-02 00:00:00,1.1285862873999999,1.1276469
144,2024-02-02 04:00:00,1.1286273775999998,1.1275893
