date,actual_data,lstm_predicted_data
2024-01-01 20:00:00,1.1301878029999999,1.1301878029999999
2024-01-02 00:00:00,1.1300675389999997,1.1300675389999997
2024-01-02 04:00:00,1.1299753365999998,1.1299753365999998
2024-01-02 08:00:00,1.1295113179999998,1.1295113179999998
2024-01-02 12:00:00,1.129255757,1.129255757
2024-01-02 16:00:00,1.1292858229999998,1.1292858229999998
2024-01-02 20:00:00,1.1292367151999998,1.1292367151999998
2024-01-03 00:00:00,1.1294291375999999,1.1294291375999999
2024-01-03 04:00:00,1.1294241266,1.1294241266
2024-01-03 08:00:00,1.129015229,1.129015229
2024-01-03 12:00:00,1.1288638967999998,1.1288638967999998
2024-01-03 16:00:00,1.1289961871999998,1.1289961871999998
2024-01-03 20:00:00,1.1290783675999998,1.1290783675999998
2024-01-04 00:00:00,1.1290813741999999,1.1290813741999999
2024-01-04 04:00:00,1.129195625,1.129195625
2024-01-04 08:00:00,1.1292998537999999,1.1292998537999999
2024-01-04 12:00:00,1.1293710099999998,1.1293710099999998
2024-01-04 16:00:00,1.1292908339999999,1.1292908339999999
2024-01-04 20:00:00,1.1292828164,1.1292828164
2024-01-05 00:00:00,1.1292126623999998,1.1292126623999998
2024-01-05 04:00:00,1.1290513081999998,1.1290513081999998
2024-01-05 08:00:00,1.1289621123999998,1.1289621123999998
2024-01-05 12:00:00,1.1296025182,1.1296025182
2024-01-05 16:00:00,1.1292727943999998,1.1292727943999998
2024-01-05 20:00:00,1.1292126623999998,1.1292126623999998
2024-01-07 20:00:00,1.129235713,1.129235713
2024-01-08 00:00:00,1.1291495237999998,1.1291495237999998
2024-01-08 04:00:00,1.1292717921999997,1.1292717921999997
2024-01-08 08:00:00,1.1291996337999999,1.1291996337999999
2024-01-08 12:00:00,1.1295183333999999,1.1295183333999999
2024-01-08 16:00:00,1.1294301398,1.1294301398
2024-01-08 20:00:00,1.1293178933999999,1.1293178933999999
2024-01-09 00:00:00,1.1294481794,1.1294481794
2024-01-09 04:00:00,1.1293870451999999,1.1293870451999999
2024-01-09 08:00:00,1.1291344907999998,1.1291344907999998
2024-01-09 12:00:00,1.1289981915999998,1.1289981915999998
